,forms,javascript,logged_links,href_links,iframes,ip,www,protocol,nof_vowels,nof_consonants,nof_special_sym,nof_digits,nof_alpha,nof_alphanumeric,nof_ques,nof_dollar,nof_percent,nof_at,nof_dash,nof_dots,nof_dir,nof_www,nof_http,nof_eq,dash_in_path,terms_in_url,Labels
89,0,0,0,1,0,0,0,1,12,18,1,0,30,30,0,0,0,0,2,2,3,0,1,0,1,6,0
90,0,0,0,1,0,0,0,1,8,16,1,0,24,24,0,0,0,0,1,1,4,0,1,0,2,5,0
91,0,0,0,1,0,0,0,1,7,14,1,0,21,21,0,0,0,0,1,1,4,0,1,0,2,5,0
92,0,0,0,0,0,0,1,1,2,15,1,0,17,17,0,0,0,0,0,2,3,1,1,0,1,4,0
93,0,0,0,0,0,0,0,1,1,14,1,1,17,18,0,0,0,0,0,1,3,0,1,0,1,4,0
94,1,0,0,1,0,0,0,0,25,56,3,5,81,86,0,0,0,0,2,3,9,1,1,0,7,13,0
95,0,0,0,0,0,0,0,1,1,14,1,2,16,18,0,0,0,0,0,1,3,0,1,0,1,4,0
96,1,0,0,1,0,0,0,0,15,34,1,3,49,52,0,0,0,0,0,3,3,0,1,0,1,6,0
97,1,0,0,1,0,0,0,0,13,36,1,3,49,52,0,0,0,0,0,3,3,0,1,0,1,6,0
98,0,0,0,0,0,0,0,0,5,17,1,2,22,24,0,0,0,0,0,4,3,0,1,0,1,7,0
99,0,0,0,3,0,0,0,0,9,13,1,0,22,22,0,0,0,0,1,1,3,0,1,0,1,5,0
100,0,0,0,3,0,0,0,1,12,26,1,3,38,41,0,0,0,0,2,2,3,0,1,0,1,6,0
101,1,0,0,1,0,0,0,0,14,28,1,3,42,45,0,0,0,0,0,3,3,0,1,0,1,6,0
102,0,0,0,1,0,0,0,0,26,55,2,5,86,91,0,0,0,0,1,2,10,0,1,0,8,12,0
103,0,0,0,3,0,0,0,0,9,22,2,0,31,31,1,0,0,0,1,3,3,0,1,4,1,7,0
104,0,0,0,276,0,0,0,0,18,32,1,2,50,52,0,0,0,0,2,3,4,0,1,0,2,9,0
105,1,0,0,0,0,0,0,0,15,27,1,2,42,44,0,0,0,0,2,3,3,0,1,0,1,7,0
106,0,0,0,1,0,0,0,1,17,41,3,3,59,62,1,0,0,0,1,2,6,0,1,1,4,12,0
107,0,0,0,1,0,0,0,1,17,41,3,3,59,62,1,0,0,0,1,2,6,0,1,1,4,12,0
108,0,0,0,1,0,0,0,1,17,41,3,3,59,62,1,0,0,0,1,2,6,0,1,1,4,12,0
109,0,0,0,1,0,0,0,1,16,39,2,3,56,59,1,0,0,0,1,2,6,0,1,1,4,11,0
110,0,0,0,1,0,0,0,1,15,38,2,3,54,57,1,0,0,0,1,2,6,0,1,1,4,11,0
111,0,0,0,1,0,0,0,1,12,29,1,3,42,45,0,0,0,0,1,2,6,0,1,0,4,9,0
112,1,0,0,1,0,0,0,0,25,49,1,0,78,78,0,0,0,0,1,2,10,0,1,0,8,13,0
113,1,0,1,3,5,0,0,0,20,34,1,0,54,54,0,0,0,0,0,3,4,0,1,0,2,7,0
114,1,0,0,0,0,0,0,0,25,43,1,2,68,70,0,0,0,0,0,3,6,0,1,0,4,9,0
115,1,0,0,0,0,0,0,1,25,44,1,2,69,71,0,0,0,0,0,3,6,0,1,0,4,9,0
116,1,0,0,0,0,0,0,0,26,45,2,2,71,73,0,0,0,0,0,3,6,0,1,0,4,9,0
117,1,0,0,0,0,0,0,1,26,46,2,2,72,74,0,0,0,0,0,3,6,0,1,0,4,9,0
118,0,0,0,0,0,0,0,0,8,16,1,0,24,24,0,0,0,0,1,3,3,0,1,0,1,6,0
