,forms,javascript,logged_links,href_links,iframes,ip,www,protocol,nof_vowels,nof_consonants,nof_special_sym,nof_digits,nof_alpha,nof_alphanumeric,nof_ques,nof_dollar,nof_percent,nof_at,nof_dash,nof_dots,nof_dir,nof_www,nof_http,nof_eq,dash_in_path,terms_in_url,Labels
75,2,0,2,300,7,0,1,1,4,18,1,0,22,22,0,0,0,0,0,2,2,1,1,0,0,4,1
76,0,0,1,20,15,0,1,1,3,17,1,0,20,20,0,0,0,0,0,2,2,1,1,0,0,4,1
77,4,0,8,206,10,0,1,1,2,12,1,0,14,14,0,0,0,0,0,2,2,1,1,0,0,4,1
78,0,0,0,0,0,0,1,1,1,14,1,0,15,15,0,0,0,0,0,3,2,1,1,0,0,5,1
79,1,0,2,176,2,0,1,1,4,13,1,0,17,17,0,0,0,0,0,2,2,1,1,0,0,4,1
80,0,0,0,6,0,0,1,1,8,18,1,0,26,26,0,0,0,0,0,2,2,1,1,0,0,4,1
81,1,0,0,41,0,0,1,1,5,11,1,0,16,16,0,0,0,0,0,2,2,1,1,0,0,4,1
82,6,0,0,28,0,0,1,1,4,10,1,0,14,14,0,0,0,0,0,2,2,1,1,0,0,4,1
83,0,0,0,3,0,0,1,1,3,20,1,0,23,23,0,0,0,0,1,2,2,1,1,0,0,5,1
84,0,0,0,0,0,0,1,1,5,18,1,0,23,23,0,0,0,0,0,2,2,1,1,0,0,4,1
85,0,0,0,0,0,0,1,1,5,15,1,0,20,20,0,0,0,0,0,2,2,1,1,0,0,4,1
86,2,0,0,280,0,0,1,1,3,14,1,0,17,17,0,0,0,0,0,2,2,1,1,0,0,4,1
87,3,0,0,30,0,0,1,1,3,11,1,0,14,14,0,0,0,0,0,2,2,1,1,0,0,4,1
88,1,0,0,79,0,0,1,1,5,12,1,0,17,17,0,0,0,0,0,2,2,1,1,0,0,4,1
89,0,0,0,0,0,0,1,1,3,12,1,0,15,15,0,0,0,0,0,2,2,1,1,0,0,4,1
90,1,0,2,28,5,0,1,1,7,18,1,0,25,25,0,0,0,0,0,2,2,1,1,0,0,4,1
91,1,0,0,5,0,0,1,1,9,19,1,0,28,28,0,0,0,0,1,2,2,1,1,0,0,5,1
92,0,0,0,0,0,0,0,1,4,15,1,0,19,19,0,0,0,0,0,2,2,1,1,0,0,4,1
93,0,0,0,20,0,0,1,1,3,11,1,0,14,14,0,0,0,0,0,2,2,1,1,0,0,4,1
94,4,0,1,680,2,0,1,1,5,18,1,0,23,23,0,0,0,0,1,2,2,1,1,0,0,5,1
95,2,0,2,60,2,0,1,1,5,13,1,0,18,18,0,0,0,0,0,2,2,1,1,0,0,4,1
96,2,0,0,125,2,0,1,1,8,18,1,0,26,26,0,0,0,0,0,2,2,1,1,0,0,4,1
97,1,0,2,97,2,0,1,1,4,16,1,0,20,20,0,0,0,0,0,2,2,1,1,0,0,4,1
98,2,0,0,28,3,0,1,1,4,15,1,0,19,19,0,0,0,0,0,2,2,1,1,0,0,4,1
99,1,0,0,290,2,0,1,1,3,12,1,0,15,15,0,0,0,0,0,2,2,1,1,0,0,4,1
100,0,0,0,0,0,0,1,1,6,23,1,0,29,29,0,0,0,0,0,2,2,1,1,0,0,4,1
101,2,0,5,129,6,0,1,1,6,14,1,0,20,20,0,0,0,0,0,3,2,1,1,0,0,5,1
102,0,0,0,0,0,0,1,1,2,13,1,0,15,15,0,0,0,0,0,2,2,1,1,0,0,4,1
103,0,0,0,22,0,0,1,1,8,20,1,0,28,28,0,0,0,0,0,2,2,1,1,0,0,4,1
104,1,0,5,159,22,0,1,1,2,14,1,1,16,17,0,0,0,0,0,2,2,1,1,0,0,4,1
105,2,0,10,126,20,0,1,1,7,20,1,0,27,27,0,0,0,0,0,2,2,1,1,0,0,4,1
106,0,0,0,8,0,0,1,1,3,14,1,0,17,17,0,0,0,0,0,2,2,1,1,0,0,4,1
107,0,0,1,14,1,0,1,1,6,17,1,0,23,23,0,0,0,0,0,2,2,1,1,0,0,4,1
108,4,0,1,14,5,0,1,1,5,15,1,0,20,20,0,0,0,0,0,2,2,1,1,0,0,4,1
109,3,0,2,179,2,0,1,1,6,20,1,0,26,26,0,0,0,0,0,2,2,1,1,0,0,4,1
110,1,0,1,74,2,0,1,1,6,17,1,0,23,23,0,0,0,0,1,2,2,1,1,0,0,5,1
111,0,0,0,0,0,0,1,1,8,19,1,0,27,27,0,0,0,0,0,2,2,1,1,0,0,4,1
112,0,0,0,0,0,0,1,1,2,13,1,0,15,15,0,0,0,0,0,2,2,1,1,0,0,4,1
113,1,0,1,53,3,0,1,1,5,14,1,0,19,19,0,0,0,0,0,3,2,1,1,0,0,5,1
114,0,0,0,0,0,0,1,1,3,16,1,0,19,19,0,0,0,0,0,2,2,1,1,0,0,4,1
115,0,0,0,0,0,0,1,1,6,17,1,0,23,23,0,0,0,0,0,2,2,1,1,0,0,4,1
116,1,0,0,24,0,0,1,1,1,15,1,0,16,16,0,0,0,0,0,2,2,1,1,0,0,4,1
117,0,0,3,66,14,0,1,1,3,14,1,1,17,18,0,0,0,0,0,2,2,1,1,0,0,4,1
118,0,0,2,82,2,0,1,1,5,17,1,0,22,22,0,0,0,0,0,2,2,1,1,0,0,4,1
119,1,0,2,21,3,0,1,1,3,11,1,0,14,14,0,0,0,0,0,2,2,1,1,0,0,4,1
120,10,0,1,1343,1,0,1,1,3,15,1,0,18,18,0,0,0,0,0,2,2,1,1,0,0,4,1
121,0,0,0,0,0,0,1,1,4,14,1,0,18,18,0,0,0,0,0,2,2,1,1,0,0,4,1
122,2,0,4,15,14,0,1,1,2,13,1,0,15,15,0,0,0,0,0,2,2,1,1,0,0,4,1
123,1,0,0,43,3,0,1,1,4,11,1,0,15,15,0,0,0,0,0,2,2,1,1,0,0,4,1
124,0,0,0,0,0,0,1,1,6,16,1,0,22,22,0,0,0,0,0,2,2,1,1,0,0,4,1
125,3,0,1,54,1,0,1,1,4,14,1,0,18,18,0,0,0,0,0,2,2,1,1,0,0,4,1
